symbol,industry,sector
20MICRONS,Mining / Minerals / Metals,Metals & Mining
21STCENMGM,Finance & Investments,Financials
360ONE,Finance & Investments,Financials
3BBLACKBIO,Healthcare,Healthcare
3IINFOLTD,Computers - Software - Medium / Small,I.T
3MINDIA,Diversified - Large,Miscellaneous
3PLAND,Finance & Investments,Financials
5PAISA,Finance & Investments,Financials
63MOONS,Computers - Software - Medium / Small,I.T
A2ZINFRA,Engineering - Turnkey Services,Industrials
AAATECH,Computers - Software - Medium / Small,I.T
AADHARHFC,Finance - Housing,Financials
AAKASH,Oil Drilling / Allied Services,Energy
AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,Healthcare
AARNAV,Textiles - Products,Textiles
AARON,Engineering,Industrials
AARTECH,Electric Equipment,Industrials
AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,Healthcare
AARTIIND,Chemicals,Chemicals
AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
AARTISURF,Chemicals,Chemicals
AARVI,Miscellaneous,Miscellaneous
AAVAS,Finance - Housing,Financials
ABAN,Oil Drilling / Allied Services,Energy
ABANSENT,Trading,Services
ABB,Electric Equipment,Industrials
ABBOTINDIA,Pharmaceuticals - Multinational,Healthcare
ABCAPITAL,Finance & Investments,Financials
ABCOTS,Textiles - Cotton/Blended,Textiles
ABDL,Breweries & Distilleries,Fmcg
ABFRL,Textiles - Products,Consumer Discretionary
ABINFRA,Construction,Industrials
ABLBL,Textiles - Products,Consumer Discretionary
ABMKNO,Computers - Software - Medium / Small,I.T
ABREL,Construction,Realty
ABSLAMC,Finance & Investments,Financials
ACC,Cement - North India,Building Materials
ACCELYA,Computers - Software - Medium / Small,I.T
ACCURACY,Miscellaneous,Transportation
ACE,Engineering,Industrials
ACEINTEG,Diversified - Medium / Small,Miscellaneous
ACI,Chemicals,Chemicals
ACL,Cement - South India,Building Materials
ACMESOLAR,Engineering - Turnkey Services,Industrials
ACSTECH,Computers - Software - Medium / Small,I.T
ACUTAAS,Pharmaceuticals - Indian - Bulk Drugs,Healthcare
ADANIENSOL,Power Generation And Supply,Power & Utilities
ADANIENT,Trading,Services
ADANIGREEN,Power Generation And Supply,Power & Utilities
ADANIPORTS,Miscellaneous,Transportation
ADANIPOWER,Power Generation And Supply,Power & Utilities
ADFFOODS,Food - Processing - Indian,Fmcg
ADL,Miscellaneous,Building Materials
ADOR,Electrodes - Welding Equipment,Industrials
ADROITINFO,Computers - Software - Medium / Small,I.T
ADSL,Computers - Software - Medium / Small,I.T
ADVAIT,Cables - Power,Industrials
ADVANCE,Pesticides / Agrochemicals - Indian,Chemicals
ADVANIHOTR,Hotels,Services
ADVENTHTL,Hotels,Services
ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
AEGISLOG,Trading,Services
AEGISVOPAK,Miscellaneous,Transportation
AEPL,Electric Equipment,Industrials
AEQUS,Engineering,Aerospace & Defence
AEROENTER,Steel - Medium / Small,Metals & Mining
AEROFLEX,Steel - Medium / Small,Metals & Mining
AERONEU,Packaging,Industrials
AETHER,Chemicals,Chemicals
AFCONS,Construction,Industrials
AFFLE,Computers - Software - Medium / Small,I.T
AFFORDABLE,Engineering,Industrials
AFIL,Finance & Investments,Financials
AFSL,Finance & Investments,Financials
AGARIND,Petrochemicals,Energy
AGARWALEYE,Healthcare,Healthcare
AGI,Packaging,Industrials
AGIIL,Construction,Industrials
AGL,Miscellaneous,Transportation
AGRITECH,Miscellaneous,Fmcg
AGROPHOS,Fertilizers,Chemicals
AHCL,Chemicals,Chemicals
AHLADA,Steel - Medium / Small,Metals & Mining
AHLEAST,Hotels,Services
AHLUCONT,Construction,Industrials
AHLWEST,Hotels,Services
AIAENG,Castings & Forgings,Industrials
AIIL,Finance & Investments,Financials
AIRAN,Computers - Software - Medium / Small,I.T
AIROLAM,Miscellaneous,Building Materials
AJANTPHARM,Pharmaceuticals - Indian - Formulations,Healthcare
AJAXENGG,Engineering,Industrials
AJMERA,Construction,Industrials
AJOONI,Food - Processing - Indian,Fmcg
AKASH,Construction,Industrials
AKCAPIT,Finance & Investments,Financials
AKG,Trading,Services
AKI,Leather / Leather Products,Consumer Discretionary
AKSHAR,Textiles - Cotton/Blended,Textiles
AKSHARCHEM,Dyes And Pigments,Chemicals
AKSHOPTFBR,Cables - Telephone,Industrials
AKUMS,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
ALANKIT,Computers - Software - Medium / Small,I.T
ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
ALEMBICLTD,Construction,Industrials
ALGOQUANT,Finance & Investments,Financials
ALICON,Castings & Forgings,Industrials
ALIVUS,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
ALKALI,Chemicals,Chemicals
ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
ALKYLAMINE,Chemicals,Chemicals
ALLCARGO,Miscellaneous,Transportation
ALLDIGI,Computers - Software - Medium / Small,I.T
ALLTIME,Plastics Products,Plastic Products
ALMONDZ,Finance & Investments,Financials
ALOKINDS,Textiles - Processing,Textiles
ALPA,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
ALPHAGEO,Miscellaneous,Miscellaneous
AMAGI,Computers - Software - Medium / Small,I.T
AMANTA,Pharmaceuticals - Indian - Bulk Drugs & Formln,Healthcare
AMBALALSA,Trading,Healthcare
AMBER,Air-Conditioners,Consumer Discretionary
AMBICAAGAR,Chemicals,Chemicals
AMBIKCO,Textiles - Cotton/Blended,Textiles
AMBUJACEM,Cement - North India,Building Materials
AMDIND,Packaging,Industrials
AMIRCHAND,Food - Processing - Indian,Fmcg
AMJLAND,Construction,Industrials
AMNPLST,Chemicals,Chemicals
AMRUTANJAN,Pharmaceuticals - Indian - Formulations,Healthcare
ANANDRATHI,Finance & Investments,Financials
ANANTRAJ,Construction,Realty
ANDHRAPAP,Paper,Building Materials
ANDHRSUGAR,Chlor Alkali / Soda Ash,Chemicals
ANGELONE,Finance & Investments,Financials
ANIKINDS,Trading,Services
ANKITMETAL,Steel - Medium / Small,Metals & Mining
